Game Number,Player 1 Total Score,Player 1 Moves,Player 2 Total Score,Player 2 Moves,Winner
17,342,HETAERA; KABAB; DADAH; IDEAED; FEE; EGG; HIC; GILL; MEE; JEEL; NEF; AEON; OP; RICER; RICERS; HETAERAS; GILLS; EFT; TOP; RUN; XU; OWN,170,KET; EINA; DOE; EE; EE; RICE; DECK; MM; EL; AG; MON; KON; OLE; PED; EF; REEN; EN; ST; SUR; EEW; STY; ST,Player1
18,357,TRIENE; QI; CERNE; CERNED; AD; ADZE; CAA; EASED; EAR; FAG; TECHIE; KIKE; HMMM; ELK; MENE; NOON; OPPO; TECHIER; SCERNED; STUNS; ZAX; NY,145,ERNE; NAT; EDS; ADZ; TEC; SED; DEEDS; EE; BEE; FEH; DI; IGG; LEASED; BI; HO; LODE; ON; ERNS; TRON; NUT; TO,Player1
19,365,CUNDY; WAN; ABACA; EYRE; WANE; ESSE; BEEF; EDGE; AIA; KEDGE; JEEL; LEMME; NIM; LO; INN; KEDGER; OOP; KEDGERS; QAT; TEGG; DEX; ZO; VAW; RAIA; DAN,177,ESS; ARDS; BEDAD; ED; CEE; BEE; EGG; HE; JOE; EF; HI; BEL; EL; KINO; NE; OP; PONS; AT; UT; TUP; OR; EEK; ZA; OW; VOR,Player1
20,311,NAEVE; VAN; VANDA; CADEE; GEE; DAE; FEEB; NIGH; JAK; LILLED; ANIGH; EBON; JOE; POM; PIN; GOER; FICES; FEEBS; NTH; TURN; WYNS; XU,177,KNEE; GEO; ADD; BEDE; BO; NEE; EE; EH; FICE; MEL; LIN; MO; OM; PI; GO; NA; JAKS; STREP; ST; TA; TRY; RE,Player1
21,342,PEACE; SOJA; CAA; PEACED; CAAED; JEE; BEE; FEED; GHEE; HI; AJI; ALLEL; MANE; NOON; PORNO; ALLELS; HEMS; SPEED; MANENT; RURU; WYNS; WE; UT,169,ANDS; BANE; EN; ON; PEED; EE; EVE; GEE; HE; GIF; ID; MM; QI; ADO; KO; OB; ET; BANES; TE; ANN; KY; NEVE,Player1
22,406,CAVIE; COBAEA; REDDED; TAXA; BED; FA; GHEE; EEJIT; KLIK; MNEMIC; MM; JONG; PONGEE; ROK; CLEGS; KLIKS; PONGEES; ORT; TURN; NOY; AW; ZEE; NUR,161,TAX; BRAD; EF; EE; EE; EE; ID; HE; CLEG; ON; ENG; MONO; ON; REE; SO; SON; NON; TE; REEL; UR; PANE; TAW; KNUR,Player1
23,369,NAIVETE; ABA; DAB; TESTAE; DEED; VAE; EFFED; HIGH; NEBEK; KAKA; JEFFED; LI; MOG; HOON; PE; EHS; SRI; TUNA; WEN; XU; LIN,178,TEST; NEB; AD; EW; CEDE; CEE; GEE; AJI; GLEE; LICE; MM; EN; INN; NOOP; AR; OS; ET; TUNS; ZOS; NOOPS; YU,Player1
24,314,KETMIA; BANT; BAM; ADDED; EF; EE; DEE; GAGE; AJI; KILL; MNEME; HIN; NOON; PRO; PAH; KETMIAS; JOCOS; ST; TUN; REX; WO; NY; NIB,144,EA; ANI; KAF; EDGE; EE; GEED; DEE; EF; EEK; EECH; NE; CLON; JOCO; OH; RE; ONS; REE; TE; UR; TETS; DRY; ZE,Player1
25,352,CHASE; CAA; HADED; DEADED; BADE; KEA; BEEF; HAGG; JAG; JEELIE; MIME; HIN; MIMEO; NONE; CHASER; ELKS; CHASERS; POOS; EDIT; LUNT; WUS; KY,137,NOR; OOS; REDE; BE; EKE; BEE; GEO; JIG; IF; ME; ELK; EN; OF; KOP; OR; ELS; IFS; HINT; TOR; UR; ST; NA,Player1
26,325,TENET; ZEN; FAB; DADA; BAAED; FEG; HEH; JIG; ILK; ALME; NEEM; KAK; NONG; REH; SORN; IGGS; SUQ; WO; WOX; TEENSY; NY; URN,187,EEN; BAS; ORCA; CEDED; EE; EE; ID; KA; ILL; IDEE; IGG; NOM; PO; ON; EN; SUR; DEV; WILL; EENSY; UR; POP,Player1
27,354,FALSIE; AIAS; CAD; LAC; FADED; LACKED; CADEE; HEH; JAK; MEME; MENG; JEON; NOOP; DERRO; SNEBBED; SLACKED; TURNT; XI; WE; OW; ET,146,YO; PA; AN; KEG; DERED; EBBED; EE; EGG; KEN; LIN; NE; HI; ON; NEF; EN; ITS; MOST; NU; LI; PAV,Player1
